source,line,namespace,kind,id,status
src/main/resources/mappers/arisuinfo/cm/bankCdMngMapper.xml,215,arisuinfo.cm.bsis.mapper.BankCdMngMapper,update,modifyBrCdMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bankCdMngMapper.xml,235,arisuinfo.cm.bsis.mapper.BankCdMngMapper,delete,removeBrCdMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bankCdMngMapper.xml,248,arisuinfo.cm.bsis.mapper.BankCdMngMapper,select,searchBankCdPList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bankCdMngMapper.xml,278,arisuinfo.cm.bsis.mapper.BankCdMngMapper,select,searchBrCdPList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/basicChrMsgMngMapper.xml,9,arisuinfo.cm.bsis.mapper.BasicChrMsgMngMapper,select,searchBassChrMsgMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/basicChrMsgMngMapper.xml,62,arisuinfo.cm.bsis.mapper.BasicChrMsgMngMapper,insert,insertBassChrMsgMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/basicChrMsgMngMapper.xml,110,arisuinfo.cm.bsis.mapper.BasicChrMsgMngMapper,update,updateBassChrMsgMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/basicChrMsgMngMapper.xml,134,arisuinfo.cm.bsis.mapper.BasicChrMsgMngMapper,delete,deleteBassChrMsgMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsDocMngMapper.xml,10,arisuinfo.cm.bbs.mapper.BbsDocMngMapper,select,searchBbsDoc,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsDocMngMapper.xml,77,arisuinfo.cm.bbs.mapper.BbsDocMngMapper,select,searchBbsDocMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsDocMngMapper.xml,152,arisuinfo.cm.bbs.mapper.BbsDocMngMapper,select,searchBbsDocMngDetail,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsDocMngMapper.xml,197,arisuinfo.cm.bbs.mapper.BbsDocMngMapper,insert,registBbsDocMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsDocMngMapper.xml,243,arisuinfo.cm.bbs.mapper.BbsDocMngMapper,update,modifyBbsDocMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsFaqMngMapper.xml,10,arisuinfo.cm.bbs.mapper.BbsFaqMngMapper,select,searchBbsFaq,NOT_VERIFIED
