source,title,route_references,status
src/main/nexacro/form/cm/cmPop/cmHelpViewP.xfdl,도움말,svc::/cm/hp/insertHelpUseLog.do | svc::/cm/hp/selectHpGuideByMenu.do | svc::/cm/hp/selectHpGuideDetail.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmHgyeGmokSmokP.xfdl,회계과목세목 조회,svc::/cm/bsis/searchSmokCdPopupList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmJobStatusMngP.xfdl,해야 할 일 설정,svc::/cm/main/modifyMyJob.do | svc::/cm/usr/selectUsrJobList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmJobTelP.xfdl,업무 문의,svc::/cm/usr/searchJobChrger.do | svc::/cm/usr/searchJobChrgerByDong.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmMsgP.xfdl,메세지 팝업,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmMyInfoUpdateP.xfdl,나의 정보 수정,svc::/cm/user/modifyMyInfoUdt.do | svc::/cm/user/searchMyInfoUdt.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmPhotoUploadP.xfdl,사진 업로드/다운로드,svc::/cm/fileUpload/deleteFile.do | svc::/cm/fileUpload/fileUploadList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmRaInfoMngP.xfdl,담당지역 선택,svc::/cm/usr/insertUsrRgnList.do | svc::/cm/usr/selectAreaPopupList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmReportP.xfdl,보고서출력,svc::/cm/bsis/searchSheetEstbsMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmSiteMap.xfdl,사이트맵,svc::/cm/main/selectSiteMapMenuList.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmSiteMap_bak.xfdl,New Form,,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmSmsSndngP.xfdl,문자전송,svc::/cm/cmPop/searchSmsAddr.do | svc::/cm/fileUpload/deleteAtchFileHard.do,NOT_VERIFIED
src/main/nexacro/form/cm/cmPop/cmTempLoginMngP.xfdl,임시 로그인 관리,svc::/cm/login/searchTempLoginInfo.do | svc::/cm/login/updateTempLoginInfo.do,NOT_VERIFIED
src/main/nexacro/form/cm/main/cmBoard.xfdl,게시판,svc::/cm/bbs/searchBoardMain.do,NOT_VERIFIED
src/main/nexacro/form/cm/main/cmCalendarF.xfdl,시스템일정,svc::/cm/bsis/searchHldyMng.do | svc::/cm/bsis/searchWorkDayMng.do | svc::/cm/main/searchUsrSchdulList.do | svc::/cm/myPage/updateTaskStatus.do,NOT_VERIFIED
src/main/nexacro/form/cm/main/cmNtcBannerF.xfdl,중요 공지 알림,svc::/cm/bbs/searchMainRollingList.do,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmDayMngP.xfdl,일별일정관리,,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmEltSanctnMngF.xfdl,전자결재 내역,svc::/cm/oper/searchMyElectSanctnHist.do,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmJobAlrmF.xfdl,업무알리미,svc::/cm/myPage/searchChenapDfctDps.do | svc::/cm/myPage/searchChenapEstateSeizrRegDtlsUsr.do | svc::/cm/myPage/searchChenapEstateSeizrRegUsr.do | svc::/cm/myPage/searchChenapRecentStatus.do | svc::/cm/myPage/searchChenapSwaterTargetUsr.do | svc::/cm/myPage/searchMainJobDtctCnt.do | svc::/cm/myPage/searchMainJobDtctDtls.do,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmJobProcHistF.xfdl,업무처리 내역,svc::/cm/myPage/reDoSndngEmail.do | svc::/cm/myPage/reDoSndngUMS.do | svc::/cm/myPage/searchEmaiilSndngHstList.do | svc::/cm/myPage/searchUmsSndngHstList.do,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmMkeyHistF.xfdl,고객번호 조회 내역,svc::/cm/myPage/getMkeyHistList.do,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmMyInqHistF.xfdl,나의 문의 내역,svc::/cm/bbs/searchMyQnaList.do,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmMySchMngF.xfdl,나의 일정,svc::/cm/myPage/searchUsrSchdul.do | svc::/cm/myPage/updateTaskStatus.do,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmMySchRegP.xfdl,나의 일정 등록,svc::/cm/myPage/deleteUsrSchdul.do | svc::/cm/myPage/registUsrSchdul.do | svc::/cm/myPage/updateUsrSchdul.do,NOT_VERIFIED
src/main/nexacro/form/cm/mypage/cmMySchUpdP.xfdl,나의 일정 수정,svc::/cm/auth/deleteAuth.do | svc::/cm/auth/insertAuth.do | svc::/cm/authrt/selectAuthrt.do | svc::/cm/authrt/updateAuth.do,NOT_VERIFIED
